Month,Year,Country,Arrivals
Oct,2022,    United Kingdom,51493.0
Oct,2022,  North America,49000.0
Oct,2022,  Other Regions,7728.0
Sep,2022,Number Of Air Passenger Arrivals,1720124.0
Sep,2022,  South East Asia,804101.0
Sep,2022,    Indonesia,193038.0
Sep,2022,    Malaysia,215577.0
Sep,2022,    Philippines,97723.0
Sep,2022,    Thailand,168072.0
Sep,2022,    Vietnam,93753.0
Sep,2022,  North East Asia,150840.0
Sep,2022,    Mainland China,15467.0
Sep,2022,    Hong Kong,22869.0
Sep,2022,    Japan,41836.0
Sep,2022,  South Asia,224959.0
Sep,2022,  Middle East,68579.0
Sep,2022,  Oceania,241033.0
Sep,2022,  Europe,178603.0
Sep,2022,    France,17955.0
Sep,2022,    Germany,42644.0
Sep,2022,    United Kingdom,48256.0
Sep,2022,  North America,44695.0
Sep,2022,  Other Regions,7314.0
Aug,2022,Number Of Air Passenger Arrivals,1668806.0
Aug,2022,  South East Asia,783387.0
Aug,2022,    Indonesia,173840.0
Aug,2022,    Malaysia,202616.0
Aug,2022,    Philippines,103356.0
Aug,2022,    Thailand,162275.0
Aug,2022,    Vietnam,102171.0
Aug,2022,  North East Asia,140480.0
Aug,2022,    Mainland China,14540.0
Aug,2022,    Hong Kong,16063.0
Aug,2022,    Japan,45373.0
Aug,2022,  South Asia,224590.0
Aug,2022,  Middle East,64417.0
Aug,2022,  Oceania,224325.0
Aug,2022,  Europe,179476.0
Aug,2022,    France,17072.0
Aug,2022,    Germany,43953.0
Aug,2022,    United Kingdom,48141.0
Aug,2022,  North America,44754.0
Aug,2022,  Other Regions,7377.0
Jul,2022,Number Of Air Passenger Arrivals,1671555.0
Jul,2022,  South East Asia,756737.0
Jul,2022,    Indonesia,157162.0
Jul,2022,    Malaysia,199936.0
Jul,2022,    Philippines,102796.0
Jul,2022,    Thailand,154381.0
Jul,2022,    Vietnam,100436.0
Jul,2022,  North East Asia,138603.0
Jul,2022,    Mainland China,14431.0
Jul,2022,    Hong Kong,19371.0
Jul,2022,    Japan,36276.0
Jul,2022,  South Asia,228881.0
Jul,2022,  Middle East,65591.0
Jul,2022,  Oceania,236803.0
Jul,2022,  Europe,183729.0
Jul,2022,    France,18479.0
Jul,2022,    Germany,41677.0
Jul,2022,    United Kingdom,51459.0
Jul,2022,  North America,53690.0
Jul,2022,  Other Regions,7521.0
Jun,2022,Number Of Air Passenger Arrivals,1470490.0
Jun,2022,  South East Asia,676073.0
Jun,2022,    Indonesia,147532.0
Jun,2022,    Malaysia,183269.0
Jun,2022,    Philippines,90171.0
Jun,2022,    Thailand,132875.0
Jun,2022,    Vietnam,85804.0
Jun,2022,  North East Asia,100397.0
Jun,2022,    Mainland China,10654.0
Jun,2022,    Hong Kong,15115.0
Jun,2022,    Japan,27006.0
Jun,2022,  South Asia,206325.0
Jun,2022,  Middle East,41829.0
Jun,2022,  Oceania,231599.0
Jun,2022,  Europe,154865.0
Jun,2022,    France,15732.0
Jun,2022,    Germany,34990.0
Jun,2022,    United Kingdom,42559.0
Jun,2022,  North America,52831.0
Jun,2022,  Other Regions,6571.0
May,2022,Number Of Air Passenger Arrivals,1233581.0
May,2022,  South East Asia,570605.0
May,2022,    Indonesia,133653.0
May,2022,    Malaysia,150303.0
May,2022,    Philippines,77598.0
May,2022,    Thailand,108138.0
May,2022,    Vietnam,68071.0
May,2022,  North East Asia,74022.0
May,2022,    Mainland China,8605.0
May,2022,    Hong Kong,11563.0
May,2022,    Japan,20934.0
May,2022,  South Asia,205407.0
May,2022,  Middle East,35026.0
May,2022,  Oceania,170299.0
May,2022,  Europe,125122.0
May,2022,    France,11374.0
May,2022,    Germany,27476.0
May,2022,    United Kingdom,31968.0
May,2022,  North America,47702.0
May,2022,  Other Regions,5398.0
Apr,2022,Number Of Air Passenger Arrivals,965450.0
Apr,2022,  South East Asia,391442.0
Apr,2022,    Indonesia,96579.0
Apr,2022,    Malaysia,90820.0
Apr,2022,    Philippines,57300.0
Apr,2022,    Thailand,65952.0
Apr,2022,    Vietnam,49462.0
Apr,2022,  North East Asia,58864.0
Apr,2022,    Mainland China,6530.0
Apr,2022,    Hong Kong,11761.0
Apr,2022,    Japan,17705.0
Apr,2022,  South Asia,167576.0
Apr,2022,  Middle East,24357.0
Apr,2022,  Oceania,168856.0
Apr,2022,  Europe,113167.0
Apr,2022,    France,9299.0
Apr,2022,    Germany,25783.0
Apr,2022,    United Kingdom,29953.0
Apr,2022,  North America,35428.0
Apr,2022,  Other Regions,5760.0
Mar,2022,Number Of Air Passenger Arrivals,568945.0
Mar,2022,  South East Asia,203489.0
Mar,2022,    Indonesia,37448.0
Mar,2022,    Malaysia,57463.0
Mar,2022,    Philippines,31175.0
Mar,2022,    Thailand,37158.0
Mar,2022,    Vietnam,17128.0
Mar,2022,  North East Asia,45571.0
Mar,2022,    Mainland China,7179.0
Mar,2022,    Hong Kong,14314.0
Mar,2022,    Japan,7839.0
Mar,2022,  South Asia,103465.0
Mar,2022,  Middle East,20971.0
Mar,2022,  Oceania,82559.0
Mar,2022,  Europe,82936.0
Mar,2022,    France,8022.0
Mar,2022,    Germany,16624.0
Mar,2022,    United Kingdom,26429.0
Mar,2022,  North America,26636.0
Mar,2022,  Other Regions,3318.0
Feb,2022,Number Of Air Passenger Arrivals,365864.0
Feb,2022,  South East Asia,125860.0
Feb,2022,    Indonesia,20781.0
Feb,2022,    Malaysia,45746.0
Feb,2022,    Philippines,16888.0
Feb,2022,    Thailand,17673.0
Feb,2022,    Vietnam,10183.0
Feb,2022,  North East Asia,38904.0
Feb,2022,    Mainland China,9446.0
Feb,2022,    Hong Kong,12670.0
Feb,2022,    Japan,4990.0
Feb,2022,  South Asia,66976.0
Feb,2022,  Middle East,14753.0
Feb,2022,  Oceania,41896.0
Feb,2022,  Europe,57171.0
Feb,2022,    France,7232.0
Feb,2022,    Germany,9902.0
Feb,2022,    United Kingdom,17254.0
Feb,2022,  North America,18631.0
Feb,2022,  Other Regions,1673.0
Jan,2022,Number Of Air Passenger Arrivals,393421.0
Jan,2022,  South East Asia,107373.0
Jan,2022,    Indonesia,16959.0
Jan,2022,    Malaysia,28834.0
Jan,2022,    Philippines,12660.0
Jan,2022,    Thailand,28604.0
Jan,2022,    Vietnam,5308.0
Jan,2022,  North East Asia,41343.0
Jan,2022,    Mainland China,10625.0
Jan,2022,    Hong Kong,7931.0
Jan,2022,    Japan,8187.0
Jan,2022,  South Asia,71618.0
Jan,2022,  Middle East,18299.0
Jan,2022,  Oceania,46965.0
Jan,2022,  Europe,84137.0
Jan,2022,    France,9294.0
Jan,2022,    Germany,16643.0
Jan,2022,    United Kingdom,24823.0
Jan,2022,  North America,22881.0
Jan,2022,  Other Regions,805.0
Dec,2021,Number Of Air Passenger Arrivals,394269.0
Dec,2021,  South East Asia,112451.0
Dec,2021,    Indonesia,25439.0
Dec,2021,    Malaysia,44035.0
Dec,2021,    Philippines,9787.0
Dec,2021,    Thailand,15574.0
Dec,2021,    Vietnam,4745.0
Dec,2021,  North East Asia,33499.0
Dec,2021,    Mainland China,8789.0
