Month,Year,Country,Departures,Arrivals
Mar,2023,    Japan,129542.0,115050.0
Mar,2023,  South Asia,214093.0,256815.0
Mar,2023,  Middle East,84177.0,76415.0
Mar,2023,  Oceania,277963.0,264789.0
Mar,2023,  Europe,209828.0,184712.0
Mar,2023,    France,22848.0,19812.0
Mar,2023,    Germany,48554.0,41603.0
Mar,2023,    United Kingdom,62851.0,55242.0
Mar,2023,  North America,57661.0,50372.0
Mar,2023,  Other Regions,7752.0,7310.0
Feb,2023,  South East Asia,842426.0,900278.0
Feb,2023,    Indonesia,221396.0,215290.0
Feb,2023,    Malaysia,195403.0,235207.0
Feb,2023,    Philippines,103708.0,108926.0
Feb,2023,    Thailand,196873.0,196200.0
Feb,2023,    Vietnam,85879.0,102251.0
Feb,2023,  North East Asia,359764.0,352672.0
Feb,2023,    Mainland China,39762.0,50983.0
Feb,2023,    Hong Kong,64846.0,59409.0
Feb,2023,    Japan,99646.0,101878.0
Feb,2023,  South Asia,191658.0,237581.0
Feb,2023,  Middle East,73240.0,65818.0
Feb,2023,  Oceania,267479.0,219120.0
Feb,2023,  Europe,175551.0,172671.0
Feb,2023,    France,18716.0,19287.0
Feb,2023,    Germany,42254.0,40824.0
Feb,2023,    United Kingdom,50882.0,49882.0
Feb,2023,  North America,51656.0,44211.0
Feb,2023,  Other Regions,6430.0,5955.0
Jan,2023,  South East Asia,921481.0,990177.0
Jan,2023,    Indonesia,236894.0,237294.0
Jan,2023,    Malaysia,232232.0,250687.0
Jan,2023,    Philippines,110515.0,135480.0
Jan,2023,    Thailand,195388.0,218226.0
Jan,2023,    Vietnam,102736.0,103236.0
Jan,2023,  North East Asia,313574.0,377724.0
Jan,2023,    Mainland China,31925.0,36744.0
Jan,2023,    Hong Kong,55876.0,56563.0
Jan,2023,    Japan,93387.0,110117.0
Jan,2023,  South Asia,214857.0,262870.0
Jan,2023,  Middle East,67136.0,83329.0
Jan,2023,  Oceania,302022.0,276198.0
Jan,2023,  Europe,183149.0,200543.0
Jan,2023,    France,20474.0,23143.0
Jan,2023,    Germany,43930.0,46651.0
Jan,2023,    United Kingdom,53678.0,58315.0
Jan,2023,  North America,62427.0,56104.0
Jan,2023,  Other Regions,7327.0,7564.0
Dec,2022,  South East Asia,1057678.0,1031888.0
Dec,2022,    Indonesia,246811.0,259138.0
Dec,2022,    Malaysia,273910.0,281272.0
Dec,2022,    Philippines,133346.0,107416.0
Dec,2022,    Thailand,238316.0,225584.0
Dec,2022,    Vietnam,119764.0,111769.0
Dec,2022,  North East Asia,356820.0,352631.0
Dec,2022,    Mainland China,25962.0,24083.0
Dec,2022,    Hong Kong,45287.0,48912.0
Dec,2022,    Japan,122794.0,119750.0
Dec,2022,  South Asia,261273.0,245564.0
Dec,2022,  Middle East,82980.0,94090.0
Dec,2022,  Oceania,266733.0,302629.0
Dec,2022,  Europe,186833.0,204605.0
Dec,2022,    France,23504.0,25551.0
Dec,2022,    Germany,44058.0,46439.0
Dec,2022,    United Kingdom,53624.0,60069.0
Dec,2022,  North America,59731.0,63365.0
Dec,2022,  Other Regions,7524.0,7675.0
Nov,2022,  South East Asia,908437.0,869489.0
Nov,2022,    Indonesia,219323.0,213017.0
Nov,2022,    Malaysia,220585.0,220371.0
Nov,2022,    Philippines,119526.0,104626.0
Nov,2022,    Thailand,207589.0,194279.0
Nov,2022,    Vietnam,99092.0,93847.0
Nov,2022,  North East Asia,269882.0,247593.0
Nov,2022,    Mainland China,18977.0,17880.0
Nov,2022,    Hong Kong,30993.0,30756.0
Nov,2022,    Japan,96943.0,83424.0
Nov,2022,  South Asia,246078.0,222583.0
Nov,2022,  Middle East,73123.0,71101.0
Nov,2022,  Oceania,270902.0,265382.0
Nov,2022,  Europe,176459.0,186000.0
Nov,2022,    France,19482.0,21438.0
Nov,2022,    Germany,42265.0,43500.0
Nov,2022,    United Kingdom,51632.0,54712.0
Nov,2022,  North America,51189.0,53226.0
Nov,2022,  Other Regions,6947.0,6716.0
Oct,2022,  South East Asia,849981.0,860841.0
Oct,2022,    Indonesia,203274.0,206049.0
Oct,2022,    Malaysia,213676.0,222403.0
Oct,2022,    Philippines,106538.0,107655.0
Oct,2022,    Thailand,193426.0,188712.0
Oct,2022,    Vietnam,95058.0,98211.0
Oct,2022,  North East Asia,191276.0,183577.0
Oct,2022,    Mainland China,11376.0,15965.0
Oct,2022,    Hong Kong,25196.0,23769.0
Oct,2022,    Japan,61321.0,55696.0
Oct,2022,  South Asia,226397.0,221599.0
Oct,2022,  Middle East,65709.0,72937.0
Oct,2022,  Oceania,271486.0,233455.0
Oct,2022,  Europe,170289.0,194413.0
Oct,2022,    France,17766.0,19933.0
Oct,2022,    Germany,40970.0,46194.0
Oct,2022,    United Kingdom,44355.0,51493.0
Oct,2022,  North America,47274.0,49000.0
Oct,2022,  Other Regions,7404.0,7728.0
Sep,2022,  South East Asia,763986.0,804101.0
Sep,2022,    Indonesia,183259.0,193038.0
Sep,2022,    Malaysia,201690.0,215577.0
Sep,2022,    Philippines,90927.0,97723.0
Sep,2022,    Thailand,164899.0,168072.0
Sep,2022,    Vietnam,89951.0,93753.0
Sep,2022,  North East Asia,138713.0,150840.0
Sep,2022,    Mainland China,10155.0,15467.0
Sep,2022,    Hong Kong,14802.0,22869.0
Sep,2022,    Japan,43439.0,41836.0
Sep,2022,  South Asia,198694.0,224959.0
Sep,2022,  Middle East,71333.0,68579.0
