Month,Year,Country,Departures,Arrivals
Mar,2001,South East Asia,447484.0,463090.0
Jan,2001,North America,32082.0,31850.0
Apr,2001,United Kingdom,59099.0,47877.0
May,2001,Vietnam,13366.0,13018.0
May,2001,Thailand,110447.0,117248.0
May,2001,Philippines,32616.0,32439.0
May,2001,Malaysia,134339.0,146426.0
May,2001,Indonesia,120242.0,114638.0
May,2001,South East Asia,427512.0,442169.0
Jun,2001,North America,29541.0,31915.0
Jun,2001,United Kingdom,47931.0,55092.0
Jun,2001,Germany,26527.0,24370.0
Apr,2001,North America,26639.0,20663.0
Jun,2001,Europe,130524.0,132088.0
Jun,2001,Oceania,141123.0,155790.0
Jun,2001,Middle East,13802.0,20505.0
Jun,2001,South Asia,76695.0,74258.0
Jun,2001,Japan,78888.0,83053.0
Jun,2001,Hong Kong,78531.0,90455.0
Jun,2001,Mainland China,51943.0,58859.0
Jun,2001,North East Asia,267572.0,297440.0
Jun,2001,Vietnam,16145.0,14876.0
Jun,2001,Thailand,119146.0,126720.0
Jun,2001,Philippines,30368.0,30622.0
Jun,2001,Malaysia,146864.0,146886.0
Jun,2001,Indonesia,126737.0,133007.0
May,2001,North East Asia,277612.0,257005.0
May,2001,Mainland China,60309.0,52877.0
Jun,2001,France,14459.0,13893.0
May,2001,Japan,73940.0,70313.0
May,2001,Hong Kong,82755.0,75440.0
Apr,2001,France,15227.0,12435.0
Apr,2001,Europe,143823.0,116938.0
Apr,2001,Oceania,141487.0,155852.0
Apr,2001,Middle East,11945.0,13410.0
Apr,2001,South Asia,71781.0,78464.0
Apr,2001,Japan,74675.0,77559.0
Apr,2001,Hong Kong,73630.0,79243.0
Apr,2001,Mainland China,54412.0,52287.0
Apr,2001,North East Asia,262520.0,264885.0
Apr,2001,Vietnam,13717.0,15134.0
Apr,2001,Thailand,110359.0,117122.0
Apr,2001,Germany,27375.0,24637.0
Apr,2001,Malaysia,125653.0,132264.0
Apr,2001,Indonesia,117171.0,114670.0
Apr,2001,South East Asia,421196.0,433444.0
May,2001,North America,28890.0,26948.0
May,2001,United Kingdom,53931.0,41334.0
May,2001,Germany,28418.0,22706.0
May,2001,France,14991.0,11114.0
May,2001,Europe,139414.0,108074.0
May,2001,Oceania,126804.0,146238.0
May,2001,Middle East,14115.0,12860.0
May,2001,South Asia,74087.0,78241.0
Apr,2001,Philippines,34354.0,35439.0
Sep,2002,Germany,32803.0,33979.0
Sep,2002,United Kingdom,52506.0,56826.0
Sep,2002,North America,25617.0,20915.0
Aug,2002,South East Asia,422727.0,454419.0
Aug,2002,Vietnam,15768.0,19333.0
Aug,2002,Malaysia,111229.0,125430.0
Aug,2002,Philippines,26010.0,29621.0
Aug,2002,Thailand,110283.0,121168.0
Sep,2002,France,15753.0,13160.0
Aug,2002,Indonesia,140088.0,139045.0
Sep,2002,Europe,149489.0,151889.0
Sep,2002,Mainland China,71572.0,70880.0
Sep,2002,Middle East,16468.0,13495.0
Sep,2002,South Asia,63993.0,66492.0
Sep,2002,Japan,90928.0,89327.0
Sep,2002,Hong Kong,63616.0,66373.0
Sep,2002,North East Asia,275623.0,274447.0
Sep,2002,Vietnam,14654.0,15686.0
Sep,2002,Thailand,100847.0,114113.0
Sep,2002,Philippines,24893.0,26814.0
Sep,2002,Malaysia,107422.0,113659.0
Sep,2002,Indonesia,132993.0,130141.0
Sep,2002,Oceania,157608.0,149994.0
Aug,2002,North East Asia,320906.0,285959.0
Jul,2002,France,14447.0,16109.0
Aug,2002,Hong Kong,86343.0,71819.0
Sep,2002,South East Asia,396557.0,416710.0
Jul,2002,Europe,142763.0,163192.0
Jul,2002,Oceania,178989.0,145179.0
Jul,2002,Middle East,13357.0,17829.0
Jul,2002,South Asia,69187.0,68503.0
Jul,2002,Japan,77525.0,87638.0
Jul,2002,Hong Kong,78166.0,78388.0
Jul,2002,Mainland China,47676.0,59534.0
Jul,2002,North East Asia,263964.0,287627.0
Jul,2002,Vietnam,18256.0,18697.0
Jul,2002,Thailand,108200.0,121802.0
Aug,2002,Mainland China,64526.0,55877.0
Jul,2002,Philippines,28465.0,28102.0
Jul,2002,Indonesia,162906.0,137092.0
Jul,2002,South East Asia,448157.0,445743.0
Aug,2002,North America,36042.0,26398.0
Aug,2002,United Kingdom,54230.0,54577.0
Aug,2002,Germany,32912.0,32933.0
