Month,Year,Country,Departures,Arrivals,Total_Flow
Oct,1963,    United Kingdom,496.0,648.0,1144.0
Oct,1963,Number Of Air Passenger Arrivals,0.0,14671.0,14671.0
Oct,1963,Number Of Air Passenger Departures,15086.0,0.0,15086.0
Sep,1963,    Hong Kong,1497.0,1457.0,2954.0
Sep,1963,    Indonesia,1518.0,1555.0,3073.0
Sep,1963,    Japan,145.0,106.0,251.0
Sep,1963,    Philippines,344.0,305.0,649.0
Sep,1963,    Thailand,1603.0,1566.0,3169.0
Sep,1963,    United Kingdom,1976.0,579.0,2555.0
Sep,1963,Number Of Air Passenger Arrivals,0.0,14838.0,14838.0
Sep,1963,Number Of Air Passenger Departures,16687.0,0.0,16687.0
Apr,1964,    Hong Kong,2022.0,1830.0,3852.0
Apr,1964,    Indonesia,114.0,438.0,552.0
Apr,1964,    Japan,180.0,169.0,349.0
Apr,1964,    Philippines,392.0,546.0,938.0
Apr,1964,    Thailand,2649.0,2035.0,4684.0
Apr,1964,    United Kingdom,682.0,360.0,1042.0
Apr,1964,Number Of Air Passenger Arrivals,0.0,16668.0,16668.0
Apr,1964,Number Of Air Passenger Departures,17125.0,0.0,17125.0
Aug,1964,    Hong Kong,1721.0,1638.0,3359.0
Aug,1964,    Indonesia,173.0,337.0,510.0
Aug,1964,    Japan,174.0,210.0,384.0
Aug,1964,    Philippines,317.0,309.0,626.0
Aug,1964,    Thailand,1765.0,1885.0,3650.0
Aug,1964,    United Kingdom,791.0,712.0,1503.0
Aug,1964,Number Of Air Passenger Arrivals,0.0,16701.0,16701.0
Aug,1964,Number Of Air Passenger Departures,16818.0,0.0,16818.0
Dec,1964,    Hong Kong,1836.0,1824.0,3660.0
Dec,1964,    Indonesia,111.0,245.0,356.0
Dec,1964,    Japan,151.0,161.0,312.0
Dec,1964,    Philippines,411.0,513.0,924.0
Dec,1964,    Thailand,1884.0,1862.0,3746.0
Dec,1964,    United Kingdom,589.0,1520.0,2109.0
Dec,1964,Number Of Air Passenger Arrivals,0.0,19886.0,19886.0
Dec,1964,Number Of Air Passenger Departures,19589.0,0.0,19589.0
Feb,1964,    Hong Kong,1517.0,1267.0,2784.0
Feb,1964,    Indonesia,5.0,29.0,34.0
Feb,1964,    Japan,69.0,95.0,164.0
Feb,1964,    Philippines,454.0,570.0,1024.0
Feb,1964,    Thailand,1926.0,1795.0,3721.0
Feb,1964,    United Kingdom,1470.0,1633.0,3103.0
Feb,1964,Number Of Air Passenger Arrivals,0.0,16771.0,16771.0
Feb,1964,Number Of Air Passenger Departures,17312.0,0.0,17312.0
Jan,1964,    Hong Kong,1024.0,1539.0,2563.0
Jan,1964,    Indonesia,4.0,85.0,89.0
Jan,1964,    Japan,72.0,168.0,240.0
Jan,1964,    Philippines,273.0,226.0,499.0
Jan,1964,    Thailand,1431.0,1697.0,3128.0
Jan,1964,    United Kingdom,591.0,1331.0,1922.0
Jan,1964,Number Of Air Passenger Arrivals,0.0,15535.0,15535.0
Jan,1964,Number Of Air Passenger Departures,14346.0,0.0,14346.0
Jul,1964,    Hong Kong,1470.0,1621.0,3091.0
Jul,1964,    Indonesia,153.0,343.0,496.0
Jul,1964,    Japan,139.0,160.0,299.0
Jul,1964,    Philippines,155.0,163.0,318.0
Jul,1964,    Thailand,1955.0,2405.0,4360.0
Jul,1964,    United Kingdom,571.0,1758.0,2329.0
Jul,1964,Number Of Air Passenger Arrivals,0.0,16281.0,16281.0
Jul,1964,Number Of Air Passenger Departures,15594.0,0.0,15594.0
Jun,1964,    Hong Kong,1384.0,1401.0,2785.0
Jun,1964,    Indonesia,138.0,281.0,419.0
Jun,1964,    Japan,99.0,220.0,319.0
Jun,1964,    Philippines,305.0,336.0,641.0
Jun,1964,    Thailand,1503.0,1665.0,3168.0
Jun,1964,    United Kingdom,553.0,568.0,1121.0
Jun,1964,Number Of Air Passenger Arrivals,0.0,14445.0,14445.0
Jun,1964,Number Of Air Passenger Departures,14148.0,0.0,14148.0
Mar,1964,    Hong Kong,1904.0,1529.0,3433.0
Mar,1964,    Indonesia,15.0,206.0,221.0
Mar,1964,    Japan,160.0,214.0,374.0
Mar,1964,    Philippines,505.0,568.0,1073.0
Mar,1964,    Thailand,2612.0,2295.0,4907.0
Mar,1964,    United Kingdom,614.0,778.0,1392.0
Mar,1964,Number Of Air Passenger Arrivals,0.0,16948.0,16948.0
Mar,1964,Number Of Air Passenger Departures,17275.0,0.0,17275.0
May,1964,    Hong Kong,1700.0,1889.0,3589.0
May,1964,    Indonesia,123.0,279.0,402.0
May,1964,    Japan,173.0,148.0,321.0
May,1964,    Philippines,445.0,456.0,901.0
May,1964,    Thailand,1985.0,2257.0,4242.0
May,1964,    United Kingdom,529.0,495.0,1024.0
May,1964,Number Of Air Passenger Arrivals,0.0,17118.0,17118.0
May,1964,Number Of Air Passenger Departures,16546.0,0.0,16546.0
Nov,1964,    Hong Kong,2239.0,2351.0,4590.0
Nov,1964,    Indonesia,215.0,280.0,495.0
Nov,1964,    Japan,119.0,165.0,284.0
Nov,1964,    Philippines,649.0,614.0,1263.0
Nov,1964,    Thailand,2314.0,2605.0,4919.0
Nov,1964,    United Kingdom,541.0,564.0,1105.0
Nov,1964,Number Of Air Passenger Arrivals,0.0,18245.0,18245.0
Nov,1964,Number Of Air Passenger Departures,18335.0,0.0,18335.0
Oct,1964,    Hong Kong,1955.0,2013.0,3968.0
Oct,1964,    Indonesia,131.0,300.0,431.0
Oct,1964,    Japan,122.0,187.0,309.0
Oct,1964,    Philippines,377.0,472.0,849.0
Oct,1964,    Thailand,2181.0,2477.0,4658.0
Oct,1964,    United Kingdom,505.0,690.0,1195.0
Oct,1964,Number Of Air Passenger Arrivals,0.0,17096.0,17096.0
Oct,1964,Number Of Air Passenger Departures,16309.0,0.0,16309.0
Sep,1964,    Hong Kong,1326.0,1371.0,2697.0
Sep,1964,    Indonesia,86.0,230.0,316.0
Sep,1964,    Japan,130.0,190.0,320.0
Sep,1964,    Philippines,239.0,281.0,520.0
Sep,1964,    Thailand,1505.0,1607.0,3112.0
Sep,1964,    United Kingdom,1688.0,600.0,2288.0
Sep,1964,Number Of Air Passenger Arrivals,0.0,14978.0,14978.0
Sep,1964,Number Of Air Passenger Departures,15232.0,0.0,15232.0
Apr,1965,    Hong Kong,2589.0,2514.0,5103.0
Apr,1965,    Indonesia,169.0,385.0,554.0
Apr,1965,    Japan,270.0,262.0,532.0
Apr,1965,    Philippines,257.0,343.0,600.0
Apr,1965,    Thailand,2259.0,2068.0,4327.0
Apr,1965,    United Kingdom,986.0,870.0,1856.0
Apr,1965,Number Of Air Passenger Arrivals,0.0,20258.0,20258.0
Apr,1965,Number Of Air Passenger Departures,20331.0,0.0,20331.0
Aug,1965,    Hong Kong,2087.0,2532.0,4619.0
Aug,1965,    Indonesia,175.0,338.0,513.0
Aug,1965,    Japan,221.0,322.0,543.0
Aug,1965,    Philippines,408.0,365.0,773.0
Aug,1965,    Thailand,2108.0,1906.0,4014.0
Aug,1965,    United Kingdom,872.0,1103.0,1975.0
Aug,1965,Number Of Air Passenger Arrivals,0.0,21032.0,21032.0
Aug,1965,Number Of Air Passenger Departures,21016.0,0.0,21016.0
Dec,1965,    Hong Kong,1941.0,1919.0,3860.0
Dec,1965,    Indonesia,145.0,394.0,539.0
Dec,1965,    Japan,192.0,213.0,405.0
Dec,1965,    Philippines,503.0,605.0,1108.0
Dec,1965,    Thailand,1834.0,1852.0,3686.0
Dec,1965,    United Kingdom,658.0,1537.0,2195.0
Dec,1965,Number Of Air Passenger Arrivals,0.0,22930.0,22930.0
Dec,1965,Number Of Air Passenger Departures,21269.0,0.0,21269.0
Feb,1965,    Hong Kong,1815.0,1346.0,3161.0
Feb,1965,    Indonesia,124.0,256.0,380.0
Feb,1965,    Japan,127.0,183.0,310.0
Feb,1965,    Philippines,303.0,494.0,797.0
Feb,1965,    Thailand,1755.0,1980.0,3735.0
Feb,1965,    United Kingdom,479.0,690.0,1169.0
Feb,1965,Number Of Air Passenger Arrivals,0.0,16988.0,16988.0
Feb,1965,Number Of Air Passenger Departures,17528.0,0.0,17528.0
Jan,1965,    Hong Kong,1586.0,1521.0,3107.0
Jan,1965,    Indonesia,135.0,207.0,342.0
Jan,1965,    Japan,118.0,178.0,296.0
Jan,1965,    Philippines,374.0,374.0,748.0
Jan,1965,    Thailand,1426.0,1758.0,3184.0
Jan,1965,    United Kingdom,1311.0,984.0,2295.0
Jan,1965,Number Of Air Passenger Arrivals,0.0,17864.0,17864.0
Jan,1965,Number Of Air Passenger Departures,17955.0,0.0,17955.0
Jul,1965,    Hong Kong,1763.0,2623.0,4386.0
Jul,1965,    Indonesia,131.0,316.0,447.0
Jul,1965,    Japan,168.0,201.0,369.0
Jul,1965,    Philippines,383.0,681.0,1064.0
Jul,1965,    Thailand,2053.0,2147.0,4200.0
Jul,1965,    United Kingdom,846.0,2393.0,3239.0
Jul,1965,Number Of Air Passenger Arrivals,0.0,21019.0,21019.0
Jul,1965,Number Of Air Passenger Departures,19684.0,0.0,19684.0
Jun,1965,    Hong Kong,1447.0,2106.0,3553.0
Jun,1965,    Indonesia,108.0,294.0,402.0
Jun,1965,    Japan,140.0,235.0,375.0
Jun,1965,    Philippines,258.0,355.0,613.0
Jun,1965,    Thailand,1561.0,1390.0,2951.0
Jun,1965,    United Kingdom,670.0,882.0,1552.0
Jun,1965,Number Of Air Passenger Arrivals,0.0,16531.0,16531.0
Jun,1965,Number Of Air Passenger Departures,16298.0,0.0,16298.0
Mar,1965,    Hong Kong,2083.0,1644.0,3727.0
Mar,1965,    Indonesia,157.0,332.0,489.0
Mar,1965,    Japan,161.0,248.0,409.0
Mar,1965,    Philippines,428.0,437.0,865.0
Mar,1965,    Thailand,2578.0,2058.0,4636.0
Mar,1965,    United Kingdom,656.0,598.0,1254.0
Mar,1965,Number Of Air Passenger Arrivals,0.0,18571.0,18571.0
Mar,1965,Number Of Air Passenger Departures,19093.0,0.0,19093.0
May,1965,    Hong Kong,2096.0,2966.0,5062.0
May,1965,    Indonesia,132.0,305.0,437.0
May,1965,    Japan,191.0,205.0,396.0
May,1965,    Philippines,395.0,582.0,977.0
May,1965,    Thailand,2314.0,2160.0,4474.0
May,1965,    United Kingdom,777.0,1076.0,1853.0
May,1965,Number Of Air Passenger Arrivals,0.0,20468.0,20468.0
May,1965,Number Of Air Passenger Departures,19870.0,0.0,19870.0
Nov,1965,    Hong Kong,2204.0,2688.0,4892.0
Nov,1965,    Indonesia,155.0,375.0,530.0
Nov,1965,    Japan,201.0,309.0,510.0
Nov,1965,    Philippines,684.0,540.0,1224.0
Nov,1965,    Thailand,2383.0,2477.0,4860.0
Nov,1965,    United Kingdom,515.0,612.0,1127.0
Nov,1965,Number Of Air Passenger Arrivals,0.0,19738.0,19738.0
Nov,1965,Number Of Air Passenger Departures,20426.0,0.0,20426.0
Oct,1965,    Hong Kong,1999.0,2658.0,4657.0
Oct,1965,    Indonesia,110.0,213.0,323.0
Oct,1965,    Japan,151.0,348.0,499.0
Oct,1965,    Philippines,428.0,638.0,1066.0
Oct,1965,    Thailand,2972.0,2711.0,5683.0
Oct,1965,    United Kingdom,495.0,774.0,1269.0
Oct,1965,Number Of Air Passenger Arrivals,0.0,19327.0,19327.0
Oct,1965,Number Of Air Passenger Departures,19955.0,0.0,19955.0
Sep,1965,    Hong Kong,2007.0,1742.0,3749.0
Sep,1965,    Indonesia,94.0,262.0,356.0
Sep,1965,    Japan,296.0,210.0,506.0
