Country,Month (YYYY-MM),Arrivals,Departures,No of holidays
Vietnam,2015-12,95244,104896,0
Mainland China,2015-12,211983,213327,0
Hong Kong,2015-12,176149,174793,2
Japan,2015-12,132647,137173,2
France,2015-12,15090,15725,1
Germany,2015-12,29114,25895,2
United Kingdom,2015-12,55128,48595,3
Indonesia,2015-11,274868,280179,0
Malaysia,2015-11,240998,244217,0
Philippines,2015-11,103309,108769,4
Thailand,2015-11,232068,234926,0
Vietnam,2015-11,82865,87372,0
Mainland China,2015-11,188570,202382,0
Hong Kong,2015-11,155309,163178,0
Japan,2015-11,117713,125167,2
France,2015-11,14520,14814,2
Germany,2015-11,27597,26191,0
United Kingdom,2015-11,45990,43753,0
Indonesia,2015-10,298020,287826,1
Malaysia,2015-10,231849,232170,1
Philippines,2015-10,102741,99513,0
Thailand,2015-10,222996,219466,1
Vietnam,2015-10,83757,81201,0
Mainland China,2015-10,193465,211780,7
Hong Kong,2015-10,143425,154715,2
Japan,2015-10,117686,120818,1
France,2015-10,19219,15137,0
Germany,2015-10,35931,28790,1
United Kingdom,2015-10,58386,41227,0
Indonesia,2015-09,290259,286818,1
Malaysia,2015-09,230959,232586,3
Philippines,2015-09,97417,94948,1
Thailand,2015-09,190988,190939,0
Vietnam,2015-09,81746,84213,1
Mainland China,2015-09,195301,191859,2
Hong Kong,2015-09,143626,133349,2
Japan,2015-09,107578,117361,3
France,2015-09,17597,19199,0
Germany,2015-09,32317,33744,0
United Kingdom,2015-09,52506,54134,0
Indonesia,2015-08,318616,305892,1
Malaysia,2015-08,254747,243921,1
Philippines,2015-08,108144,101706,2
Thailand,2015-08,218523,205187,1
Vietnam,2015-08,95811,92636,0
Mainland China,2015-08,238671,260644,0
Hong Kong,2015-08,171127,185117,0
Japan,2015-08,128362,130633,0
France,2015-08,21996,22627,1
Germany,2015-08,35752,33838,0
United Kingdom,2015-08,57384,58302,0
Indonesia,2015-07,305283,339964,5
Malaysia,2015-07,240410,240414,2
Philippines,2015-07,102622,97680,1
Thailand,2015-07,229653,217209,2
Vietnam,2015-07,102411,98117,0
Mainland China,2015-07,252910,214763,0
Hong Kong,2015-07,175829,156457,1
Japan,2015-07,115818,113948,1
France,2015-07,23077,21219,1
Germany,2015-07,34524,31760,0
United Kingdom,2015-07,61997,57057,0
Indonesia,2015-06,324345,310793,1
Malaysia,2015-06,256194,248504,1
Philippines,2015-06,110618,110284,1
Thailand,2015-06,239711,227762,1
Vietnam,2015-06,95923,92833,0
Mainland China,2015-06,207888,197467,3
Hong Kong,2015-06,157735,147878,1
Japan,2015-06,109238,106970,0
France,2015-06,17105,20693,0
Germany,2015-06,26437,31133,0
United Kingdom,2015-06,48804,56341,0
Indonesia,2015-05,298532,303026,3
Malaysia,2015-05,230115,237619,2
Philippines,2015-05,126227,125447,1
Thailand,2015-05,217988,212240,4
Vietnam,2015-05,83076,88592,1
Mainland China,2015-05,177674,201498,3
Hong Kong,2015-05,141810,149272,2
Japan,2015-05,96700,106186,4
France,2015-05,14854,18961,4
Germany,2015-05,24514,29875,3
United Kingdom,2015-05,38865,49455,2
Indonesia,2015-04,271819,274031,1
Malaysia,2015-04,222306,217573,0
Philippines,2015-04,125423,113668,4
Thailand,2015-04,218425,210081,4
Vietnam,2015-04,89067,77846,4
Mainland China,2015-04,196745,186017,3
Hong Kong,2015-04,142431,145299,5
Japan,2015-04,111263,103715,1
France,2015-04,15110,17804,1
Germany,2015-04,23457,32355,2
United Kingdom,2015-04,39202,54775,1
Indonesia,2015-03,279355,276699,1
Malaysia,2015-03,238933,231365,0
Philippines,2015-03,107560,112218,0
Thailand,2015-03,232179,221752,1
Vietnam,2015-03,92293,86420,0
Mainland China,2015-03,186308,201606,0
Hong Kong,2015-03,150838,155055,0
Japan,2015-03,116179,128849,1
France,2015-03,15404,18757,0
Germany,2015-03,29245,32736,0
United Kingdom,2015-03,45794,50899,0
