Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
8,2000,South Asia,74146.0,80694.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,154840.0
8,2000,Hong Kong,97926.0,84901.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,182827.0
9,2000,North America,29175.0,25519.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,54694.0
9,2000,United Kingdom,60006.0,60317.0,-1.0146143802318799,-0.6008461718884577,-1.0,-1.8369701987210297e-16,120323.0
9,2000,Germany,28576.0,27937.0,-1.0146143802318799,-0.4072172264677109,-1.0,-1.8369701987210297e-16,56513.0
9,2000,France,12409.0,11463.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,23872.0
9,2000,Europe,147940.0,147065.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,295005.0
9,2000,Oceania,148813.0,138492.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,287305.0
9,2000,Middle East,12547.0,10424.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,22971.0
9,2000,South Asia,75674.0,76262.0,-1.0146143802318799,-0.2781312628538797,-1.0,-1.8369701987210297e-16,151936.0
9,2000,Japan,99438.0,92951.0,-1.0146143802318799,-1.0849185354403246,-1.0,-1.8369701987210297e-16,192389.0
9,2000,Hong Kong,74277.0,82193.0,-1.0146143802318799,-1.0849185354403246,-1.0,-1.8369701987210297e-16,156470.0
9,2000,Mainland China,52333.0,56587.0,-1.0146143802318799,-1.0849185354403246,-1.0,-1.8369701987210297e-16,108920.0
9,2000,North East Asia,283759.0,286654.0,-1.0146143802318799,-1.0849185354403246,-1.0,-1.8369701987210297e-16,570413.0
9,2000,Vietnam,11490.0,13125.0,-1.0146143802318799,-1.4399049353783602,-1.0,-1.8369701987210297e-16,24615.0
